Router Solicitation from 00:00:00:00:00:01
Router Solicitation from 00:00:00:00:00:02
Router Solicitation from 00:00:00:00:00:01
Router Solicitation from 00:00:00:00:00:02
5001 → 5001 [ACK] Seq=1 Ack=14305 Win=42232 Len=0 TSval=1288 TSecr=1280
5001 → 5001 [PSH, ACK] Seq=41437 Ack=1 Win=29200 Len=1428 TSval=1295 TSecr=1288
5001 → 5001 [ACK] Seq=1 Ack=15733 Win=42232 Len=0 TSval=1288 TSecr=1280
5001 → 5001 [ACK] Seq=42865 Ack=1 Win=29200 Len=1428 TSval=1296 TSecr=1288
5001 → 49078 [SYN, ACK] Seq=0 Ack=1 Win=28560 Len=0 MSS=1460 SACK_PERM=1 TSval=1288 TSecr=1280 WS=4
5001 → 5001 [ACK] Seq=44293 Ack=1 Win=29200 Len=1428 TSval=1296 TSecr=1288
5001 → 5001 [ACK] Seq=1 Ack=17161 Win=42232 Len=0 TSval=1289 TSecr=1280
5001 → 5001 [ACK] Seq=45721 Ack=1 Win=29200 Len=1428 TSval=1296 TSecr=1288
5001 → 5001 [ACK] Seq=1 Ack=18589 Win=42232 Len=0 TSval=1290 TSecr=1280
49078 → 5001 [ACK] Seq=1 Ack=1 Win=29200 Len=0 TSval=1296 TSecr=1288
5001 → 5001 [ACK] Seq=47149 Ack=1 Win=29200 Len=1428 TSval=1297 TSecr=1289
5001 → 5001 [ACK] Seq=1 Ack=20017 Win=42232 Len=0 TSval=1290 TSecr=1281
5001 → 5001 [ACK] Seq=48577 Ack=1 Win=29200 Len=1428 TSval=1297 TSecr=1289
5001 → 5001 [ACK] Seq=1 Ack=21445 Win=42232 Len=0 TSval=1291 TSecr=1281
5001 → 5001 [ACK] Seq=50005 Ack=1 Win=29200 Len=1428 TSval=1297 TSecr=1290
5001 → 5001 [ACK] Seq=1 Ack=22873 Win=42232 Len=0 TSval=1292 TSecr=1282
5001 → 5001 [ACK] Seq=51433 Ack=1 Win=29200 Len=1428 TSval=1297 TSecr=1290
5001 → 5001 [ACK] Seq=1 Ack=24301 Win=42232 Len=0 TSval=1292 TSecr=1282
5001 → 5001 [ACK] Seq=52861 Ack=1 Win=29200 Len=1428 TSval=1298 TSecr=1290
5001 → 5001 [ACK] Seq=1 Ack=25729 Win=42232 Len=0 TSval=1293 TSecr=1282
5001 → 5001 [ACK] Seq=54289 Ack=1 Win=29200 Len=1428 TSval=1298 TSecr=1290
5001 → 5001 [ACK] Seq=1 Ack=27157 Win=42232 Len=0 TSval=1293 TSecr=1282
5001 → 5001 [ACK] Seq=55717 Ack=1 Win=29200 Len=1428 TSval=1298 TSecr=1291
5001 → 5001 [PSH, ACK] Seq=57145 Ack=1 Win=29200 Len=1428 TSval=1298 TSecr=1291
5001 → 5001 [ACK] Seq=1 Ack=30013 Win=42232 Len=0 TSval=1295 TSecr=1283
5001 → 5001 [ACK] Seq=1 Ack=32869 Win=42232 Len=0 TSval=1296 TSecr=1283
5001 → 5001 [ACK] Seq=58573 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=60001 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=1 Ack=35725 Win=42232 Len=0 TSval=1297 TSecr=1284
5001 → 5001 [ACK] Seq=61429 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=62857 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=1 Ack=38581 Win=42232 Len=0 TSval=1298 TSecr=1285
5001 → 5001 [ACK] Seq=64285 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=65713 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=1 Ack=41437 Win=42232 Len=0 TSval=1299 TSecr=1285
5001 → 5001 [ACK] Seq=67141 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=68569 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=69997 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=71425 Ack=1 Win=29200 Len=1428 TSval=1303 TSecr=1296
5001 → 5001 [ACK] Seq=72853 Ack=1 Win=29200 Len=1428 TSval=1304 TSecr=1297
5001 → 5001 [PSH, ACK] Seq=74281 Ack=1 Win=29200 Len=1428 TSval=1304 TSecr=1297
5001 → 5001 [ACK] Seq=1 Ack=44293 Win=42232 Len=0 TSval=1304 TSecr=1295
5001 → 5001 [ACK] Seq=1 Ack=47149 Win=42232 Len=0 TSval=1305 TSecr=1296
[TCP Window Update] 5001 → 49078 [ACK] Seq=1 Ack=1 Win=42232 Len=0 TSval=1305 TSecr=1296
5001 → 5001 [ACK] Seq=1 Ack=50005 Win=42232 Len=0 TSval=1307 TSecr=1297
49078 → 5001 [ACK] Seq=1 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=1429 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
5001 → 5001 [ACK] Seq=1 Ack=52861 Win=42232 Len=0 TSval=1308 TSecr=1297
49078 → 5001 [ACK] Seq=2857 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=4285 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
5001 → 5001 [ACK] Seq=1 Ack=55717 Win=42232 Len=0 TSval=1309 TSecr=1298
49078 → 5001 [ACK] Seq=5713 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=7141 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
5001 → 5001 [ACK] Seq=1 Ack=58573 Win=42232 Len=0 TSval=1310 TSecr=1298
49078 → 5001 [ACK] Seq=8569 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=9997 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=11425 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
49078 → 5001 [ACK] Seq=12853 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1305
5001 → 5001 [ACK] Seq=1 Ack=61429 Win=42232 Len=0 TSval=1312 TSecr=1303
5001 → 5001 [ACK] Seq=75709 Ack=1 Win=29200 Len=1428 TSval=1314 TSecr=1307
5001 → 5001 [PSH, ACK] Seq=77137 Ack=1 Win=29200 Len=1428 TSval=1315 TSecr=1307
5001 → 5001 [ACK] Seq=1 Ack=64285 Win=42232 Len=0 TSval=1313 TSecr=1303
5001 → 5001 [ACK] Seq=1 Ack=67141 Win=42232 Len=0 TSval=1314 TSecr=1303
5001 → 5001 [ACK] Seq=78565 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=79993 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=1 Ack=69997 Win=42232 Len=0 TSval=1316 TSecr=1303
5001 → 5001 [ACK] Seq=81421 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=82849 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=1 Ack=72853 Win=42232 Len=0 TSval=1317 TSecr=1303
5001 → 5001 [ACK] Seq=84277 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=85705 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=1 Ack=75709 Win=42232 Len=0 TSval=1318 TSecr=1304
5001 → 5001 [ACK] Seq=87133 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=88561 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=89989 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=91417 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [ACK] Seq=92845 Ack=1 Win=29200 Len=1428 TSval=1322 TSecr=1314
5001 → 5001 [PSH, ACK] Seq=94273 Ack=1 Win=29200 Len=1428 TSval=1323 TSecr=1314
5001 → 49078 [ACK] Seq=1 Ack=1429 Win=42232 Len=0 TSval=1322 TSecr=1314
5001 → 49078 [ACK] Seq=1 Ack=2857 Win=42232 Len=0 TSval=1323 TSecr=1314
5001 → 49078 [ACK] Seq=1 Ack=4285 Win=42232 Len=0 TSval=1323 TSecr=1314
5001 → 49078 [ACK] Seq=1 Ack=5713 Win=42232 Len=0 TSval=1324 TSecr=1314
5001 → 49078 [ACK] Seq=1 Ack=7141 Win=42232 Len=0 TSval=1325 TSecr=1314
49078 → 5001 [ACK] Seq=14281 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 49078 [ACK] Seq=1 Ack=8569 Win=42232 Len=0 TSval=1325 TSecr=1314
49078 → 5001 [ACK] Seq=15709 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 49078 [ACK] Seq=1 Ack=9997 Win=42232 Len=0 TSval=1326 TSecr=1314
49078 → 5001 [ACK] Seq=17137 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 49078 [ACK] Seq=1 Ack=11425 Win=42232 Len=0 TSval=1326 TSecr=1314
49078 → 5001 [ACK] Seq=18565 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 49078 [ACK] Seq=1 Ack=12853 Win=42232 Len=0 TSval=1327 TSecr=1314
49078 → 5001 [ACK] Seq=19993 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 49078 [ACK] Seq=1 Ack=14281 Win=42232 Len=0 TSval=1328 TSecr=1314
49078 → 5001 [ACK] Seq=21421 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
49078 → 5001 [ACK] Seq=22849 Ack=1 Win=29200 Len=1428 TSval=1332 TSecr=1325
5001 → 5001 [ACK] Seq=1 Ack=78565 Win=42232 Len=0 TSval=1329 TSecr=1314
